Designator,Mid X,Mid Y,Rotation,Layer
_4,179.0,-141.0,0.0,top
_3,120.0,-75.0,0.0,top
_2,191.0,-83.5,0.0,top
,117.5,-141.0,0.0,top
D1,170.12,-53.0,0.0,top
D2,114.5,-118.2,270.0,top
D3,192.5,-119.8,270.0,top
D4,171.0,-65.5,180.0,top
D5,171.0,-68.0,180.0,top
D6,132.980256,-125.480256,315.0,top
L1,105.5,-69.0,90.0,top
L2,105.5,-81.5,90.0,top
L3,105.5,-94.0,90.0,top
L4,105.5,-106.5,90.0,top
L5,105.5,-119.0,90.0,top
L6,105.5,-131.5,90.0,top
R1,179.5,-83.15,270.0,top
R2,173.62,-60.5,180.0,top
R3,189.12,-72.5,0.0,top
U1,150.0175,-60.5,0.0,top
U2,192.5,-99.755,270.0,top
